PLAN;GROUP_OR_SUBPLAN;TYPE;CPU_P1;CPU_P2;CPU_P3;CPU_P4;CPU_P5;CPU_P6;CPU_P7;CPU_P8;MGMT_P1;MGMT_P2;MGMT_P3;MGMT_P4;MGMT_P5;MGMT_P6;MGMT_P7;MGMT_P8;ACTIVE_SESS_POOL_P1;QUEUEING_P1;PARALLEL_TARGET_PERCENTAGE;PARALLEL_DEGREE_LIMIT_P1;SWITCH_GROUP;SWITCH_FOR_CALL;SWITCH_TIME;SWITCH_IO_MEGABYTES;SWITCH_IO_REQS;SWITCH_ESTIMATE;MAX_EST_EXEC_TIME;UNDO_POOL;MAX_IDLE_TIME;MAX_IDLE_BLOCKER_TIME;MAX_UTILIZATION_LIMIT;PARALLEL_QUEUE_TIMEOUT;SWITCH_TIME_IN_CALL;COMMENTS;STATUS;MANDATORY
ADW_UNLOAD_PLAN;ADW_UNLOAD_GROUP;CONSUMER_GROUP;48;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;;;50;16;;FALSE;;;;FALSE;;;;;55;;;ADW_UNLOAD_GROUP;;NO
ADW_UNLOAD_PLAN;FP_DM_PRIOR;CONSUMER_GROUP;20;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;;;20;16;;FALSE;;;;FALSE;;;;;20;;;All users for ADW UNLOADING;;NO
ADW_UNLOAD_PLAN;HDP_UNLOAD_GROUP;CONSUMER_GROUP;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;;;12;8;;FALSE;;;;FALSE;;;;;12;;;All users for HDP UNLOADING;;NO
ADW_UNLOAD_PLAN;ODS2EXA_GROUP;CONSUMER_GROUP;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;;;5;16;;FALSE;;;;FALSE;;;;;25;;;ODS <-> Exadata tech users groups resource directives;;NO
ADW_UNLOAD_PLAN;ODS_SUPPORT_GROUP;CONSUMER_GROUP;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;;5;16;;FALSE;;;;FALSE;;;;;5;;;Premium support group of favorites;;NO
ADW_UNLOAD_PLAN;OTHER_GROUPS;CONSUMER_GROUP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;;;;OTHER_GROUPS day users sessions at level 1;;NO
DEFAULT_MAINTENANCE_PLAN;ORA$AUTOTASK_SUB_PLAN;PLAN;0;25;0;0;0;0;0;0;0;25;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;90;;;Directive for automated maintenance tasks;;NO
DEFAULT_MAINTENANCE_PLAN;ORA$DIAGNOSTICS;CONSUMER_GROUP;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;90;;;Directive for automated diagnostic tasks;;NO
DEFAULT_MAINTENANCE_PLAN;OTHER_GROUPS;CONSUMER_GROUP;0;70;0;0;0;0;0;0;0;70;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;;;;Directive for all other operations;;NO
DEFAULT_MAINTENANCE_PLAN;SYS_GROUP;CONSUMER_GROUP;75;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;;;;Directive for system operations;;NO
SANDBOX_PLAN;ADW_UNLOAD_GROUP;CONSUMER_GROUP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;5;16;;FALSE;;;;FALSE;;;;;;;;All users for ADW UNLOADING;;NO
SANDBOX_PLAN;DM_TECH_GROUP;CONSUMER_GROUP;19;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;;;20;12;;FALSE;;;;FALSE;;;;;20;;;All users of FP VOD;;NO
SANDBOX_PLAN;OTHER_GROUPS;CONSUMER_GROUP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;FALSE;;;;FALSE;;;;;;;;OTHER_GROUPS day users sessions at level 1;;NO
SANDBOX_PLAN;SANDBOX_GROUP;CONSUMER_GROUP;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;;;60;16;;FALSE;;;;FALSE;;;;;22;;;Online day SANDBOX users sessions at level 1;;NO
SANDBOX_PLAN;SZB_SANDBOX_GROUP;CONSUMER_GROUP;45;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;;;60;32;;FALSE;;;;FALSE;;;;;55;;;For ODS_SANDBOX user;;NO
